udise_code,school_name
27200206001,Z.P.Pri School Mesankhede Khu
27200202502,Z.P.Pri School Mhasuchi Wadi
27200206601,Z.P.Pri School Nandurtek
27200206301,Z.P.Pri School Narayangaon
27200206401,Z.P.Pri School Narayankhede
27200203203,Z.P.Pri School Narote Vasti
27200206501,Z.P.Pri School Navapur
27200206201,Z.P.Pri School Nhanave
27200207402,Z.P.Pri School Nikam Vasti
27200206901,Z.P.Pri School Nimbale
27200206701,Z.P.Pri School Nimgavhan
27200206801,Z.P.Pri School Nimon
27200208002,Z.P.Pri School Panchwad Vasti
27200208703,Z.P.Pri School Pandharivasti
27200207001,Z.P.Pri School Panhale
27200207804,Z.P.Pri School Pansarevasti
27200207201,Z.P.Pri School Paregaon
27200207101,Z.P.Pri School Parsul
27200207301,Z.P.Pri School Pate
27200207401,Z.P.Pri School Patharshembe
27200204704,Z.P.Pri School Patil Mala
27200206903,Z.P.Pri School Patolevasti
27200207501,Z.P.Pri School Pimpalad
27200207701,Z.P.Pri School Pimpalnare
27200207801,Z.P.Pri School Puri
27200207901,Z.P.Pri School Rahud
27200208201,Z.P.Pri School Raipur
27200208202,Z.P.Pri School Ranmala
27200208101,Z.P.Pri School Rapali
27200208301,Z.P.Pri School Redgaon
27200208401,Z.P.Pri School Salsane
27200209704,Z.P.Pri School Samit
27200208801,Z.P.Pri School Shelu
27200208804,Z.P.Pri School Shelu Matha
27200210306,Z.P.Pri School Shewage Vasti
27200208901,Z.P.Pri School Shinde
